0,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
600,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
1200,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
1800,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
2400,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
3000,7.4,0.5,0.3,0.5,0.2,0.5,0.2,0.2,0.1,0.2,0.5,0.2,7.4,2,0.8,1.2,5.4,1,0.3,23.283,23.277,23.277,23.277,23.277,23.277,23.274,23.274,23.272,23.272,23.272,23.272,23.278,23.277,23.277,23.277,23.274,23.272,23.272,74,5,3,5,2,5,2,2,1,2,5,2,74,20,8,12,54,10,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
3600,7.3241,0.4266,0.3411,0.4266,0.2,0.4266,0.2133,0.35,0.1,0.2,0.4266,0.2133,7.3241,1.8209,0.7677,1.0532,5.5032,0.9399,0.3,61.754,61.748,61.748,61.748,61.748,61.748,61.745,61.745,61.742,61.742,61.742,61.742,61.749,61.748,61.748,61.748,61.745,61.742,61.742,73.241,4.266,3.411,4.266,2,4.266,2.133,3.5,1,2,4.266,2.133,73.241,18.209,7.677,10.532,55.032,9.399,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
4200,7.3241,0.4266,0.3411,0.4266,0.2,0.4266,0.2133,0.35,0.1,0.2,0.4266,0.2133,7.3241,1.8209,0.7677,1.0532,5.5032,0.9399,0.3,61.754,61.748,61.748,61.748,61.748,61.748,61.745,61.745,61.742,61.742,61.742,61.742,61.749,61.748,61.748,61.748,61.745,61.742,61.742,73.241,4.266,3.411,4.266,2,4.266,2.133,3.5,1,2,4.266,2.133,73.241,18.209,7.677,10.532,55.032,9.399,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
4800,7.3241,0.4266,0.3411,0.4266,0.2,0.4266,0.2133,0.35,0.1,0.2,0.4266,0.2133,7.3241,1.8209,0.7677,1.0532,5.5032,0.9399,0.3,61.754,61.748,61.748,61.748,61.748,61.748,61.745,61.745,61.742,61.742,61.742,61.742,61.749,61.748,61.748,61.748,61.745,61.742,61.742,73.241,4.266,3.411,4.266,2,4.266,2.133,3.5,1,2,4.266,2.133,73.241,18.209,7.677,10.532,55.032,9.399,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
5400,7.3241,0.4266,0.3411,0.4266,0.2,0.4266,0.2133,0.35,0.1,0.2,0.4266,0.2133,7.3241,1.8209,0.7677,1.0532,5.5032,0.9399,0.3,61.754,61.748,61.748,61.748,61.748,61.748,61.745,61.745,61.742,61.742,61.742,61.742,61.749,61.748,61.748,61.748,61.745,61.742,61.742,73.241,4.266,3.411,4.266,2,4.266,2.133,3.5,1,2,4.266,2.133,73.241,18.209,7.677,10.532,55.032,9.399,3,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,995,355,0,1
