0,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,2.8,0.5,0.2,0.5,0.099999,0.1,0.2,0.2,0.5,0.2,0.1,0.2,2.8,1.4,0.7,0.7,1.4,1,0.7,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,104.45,28,5,2,5,0.99999,1,2,2,5,2,1,2,28,14,7,7,14,10,7,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,2.2899,0.4266,0.35,0.2,0.099999,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,0.99999,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,2.2899,0.4266,0.35,0.2,0.1,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,1,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,2.2899,0.4266,0.35,0.2,0.099999,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,0.99999,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,2.2899,0.4266,0.35,0.2,0.1,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,1,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6000,2.2899,0.4266,0.35,0.2,0.1,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,1,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6600,2.2899,0.4266,0.35,0.2,0.099999,0.1,0.2133,0.2,0.2,0.2,0.1,0.2,2.2899,1.1766,0.7766,0.4,1.1133,0.7,0.4,60.375,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,60.374,22.899,4.266,3.5,2,0.99999,1,2.133,2,2,2,1,2,22.899,11.766,7.766,4,11.133,7,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,2.1137,0.3625,0.5,0.2,-2.2113e-05,1.6615e-05,0.2512,0.2,0.2,0.2,-1.7753e-05,0.2,2.1137,1.0625,0.8625,0.20002,1.0512,0.60001,0.4,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,32.602,21.137,3.625,5,2,-0.00022113,0.00016615,2.512,2,2,2,-0.00017753,2,21.137,10.625,8.625,2.0002,10.512,6.0001,4,700,830,920,1050,1100,1050,950,1020,1200,1300,1150,1000,800,900,920,970,900,1000,1150,500,870,880,770,700,650,500,420,475,420,300,250,500,650,750,700,415,350,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
